--0.0--i.e.-0/246158056----time (s)-0.0
--0.07677993687112966--i.e.-18900000/246158056----time (s)-1116.63
--0.07698305839724376--i.e.-18950000/246158056----time (s)-1119.64
--0.07718617992335786--i.e.-19000000/246158056----time (s)-1122.48
--0.07738930144947197--i.e.-19050000/246158056----time (s)-1125.14
--0.07759242297558606--i.e.-19100000/246158056----time (s)-1128.1
--0.07779554450170016--i.e.-19150000/246158056----time (s)-1131.12
--0.07799866602781426--i.e.-19200000/246158056----time (s)-1133.88
--0.07820178755392836--i.e.-19250000/246158056----time (s)-1136.74
--0.07840490908004245--i.e.-19300000/246158056----time (s)-1139.6
--0.07860803060615656--i.e.-19350000/246158056----time (s)-1142.46
--0.07881115213227066--i.e.-19400000/246158056----time (s)-1146.09
--0.07901427365838476--i.e.-19450000/246158056----time (s)-1149.02
--0.07921739518449886--i.e.-19500000/246158056----time (s)-1151.78
--0.07942051671061295--i.e.-19550000/246158056----time (s)-1154.55
--0.07962363823672705--i.e.-19600000/246158056----time (s)-1157.59
--0.07982675976284116--i.e.-19650000/246158056----time (s)-1160.84
--0.08002988128895526--i.e.-19700000/246158056----time (s)-1163.76
--0.08023300281506936--i.e.-19750000/246158056----time (s)-1166.63
--0.08043612434118345--i.e.-19800000/246158056----time (s)-1169.5
--0.08063924586729755--i.e.-19850000/246158056----time (s)-1172.49
--0.08084236739341165--i.e.-19900000/246158056----time (s)-1175.36
--0.08104548891952576--i.e.-19950000/246158056----time (s)-1178.74
--0.08124861044563986--i.e.-20000000/246158056----time (s)-1182.15
--0.08145173197175395--i.e.-20050000/246158056----time (s)-1185.21
--0.08165485349786805--i.e.-20100000/246158056----time (s)-1188.4
--0.08185797502398215--i.e.-20150000/246158056----time (s)-1191.5
--0.08206109655009625--i.e.-20200000/246158056----time (s)-1194.24
--0.08226421807621036--i.e.-20250000/246158056----time (s)-1196.94
--0.08246733960232445--i.e.-20300000/246158056----time (s)-1199.88
--0.08267046112843855--i.e.-20350000/246158056----time (s)-1203.28
--0.08287358265455265--i.e.-20400000/246158056----time (s)-1206.33
--0.08307670418066675--i.e.-20450000/246158056----time (s)-1209.36
--0.08327982570678084--i.e.-20500000/246158056----time (s)-1212.4
--0.08348294723289496--i.e.-20550000/246158056----time (s)-1215.32
--0.08368606875900905--i.e.-20600000/246158056----time (s)-1218.45
--0.08388919028512315--i.e.-20650000/246158056----time (s)-1221.67
--0.08409231181123725--i.e.-20700000/246158056----time (s)-1224.59
--0.08429543333735134--i.e.-20750000/246158056----time (s)-1227.63
--0.08449855486346544--i.e.-20800000/246158056----time (s)-1230.74
--0.08470167638957955--i.e.-20850000/246158056----time (s)-1233.97
--0.08490479791569365--i.e.-20900000/246158056----time (s)-1237.26
--0.08510791944180775--i.e.-20950000/246158056----time (s)-1240.21
--0.08531104096792184--i.e.-21000000/246158056----time (s)-1243.21
--0.08551416249403594--i.e.-21050000/246158056----time (s)-1246.43
--0.08571728402015004--i.e.-21100000/246158056----time (s)-1249.39
--0.08592040554626415--i.e.-21150000/246158056----time (s)-1252.37
--0.08612352707237825--i.e.-21200000/246158056----time (s)-1255.34
--0.08632664859849234--i.e.-21250000/246158056----time (s)-1258.18
--0.08652977012460644--i.e.-21300000/246158056----time (s)-1261.07
--0.08673289165072054--i.e.-21350000/246158056----time (s)-1264.25
--0.08693601317683464--i.e.-21400000/246158056----time (s)-1267.61
--0.08713913470294875--i.e.-21450000/246158056----time (s)-1270.13
--0.08734225622906285--i.e.-21500000/246158056----time (s)-1273.2
